Title,Year,Album debut,Duration,Other releases,Genre,Songwriter,Lead vocal,Top 50 Billboard
12-Bar Original,1965,Anthology 2,174,,Blues,"Lennon, McCartney, Harrison and Starkey",,
A Day in the Life,1967,Sgt. Pepper's Lonely Hearts Club Band,335,12,"Psychedelic Rock, Art Rock, Pop/Rock",Lennon and McCartney,Lennon and McCartney,
A Hard Day's Night,1964,UK: A Hard Day's Night US: 1962-1966,152,35,"Rock, Electronic, Pop/Rock",Lennon,"Lennon, with McCartney",8
A Shot of Rhythm and Blues,1963,Live at the BBC,104,,"R&B, Pop/Rock",Thompson,Lennon,
A Taste of Honey,1963,UK: Please Please Me US: The Early Beatles,163,29,"Pop/Rock, Jazz, Stage&Screen","Scott, Marlow",McCartney,
Across the Universe,1968,Let It Be,230,19,"Psychedelic folk, Pop/Rock",Lennon,Lennon,
Act Naturally,1965,UK: Help! US: Yesterday and Today,139,14,"Country, Pop/Rock","Russell, Morrison",Starkey,50
Ain't She Sweet,1961,Anthology 1,,9,Pop/Rock,"Yellen, Ager",Lennon,41
All I've Got to Do,1963,UK: With the Beatles US: Meet The Beatles!,124,9,Pop/Rock,Lennon,Lennon,
All My Loving,1963,UK: With the Beatles US: Meet The Beatles!,124,32,Pop/Rock,McCartney,McCartney,
All Things Must Pass,1969,Anthology 3,227,,"Folk Rock, Pop/Rock",Harrison,Harrison,
All Together Now,1967,Yellow Submarine,130,8,"Skiffle, Pop/Rock","McCartney, with Lennon","McCartney, with Lennon",
All You Need Is Love,1967,Magical Mystery Tour,237,25,Pop/Rock,Lennon,Lennon,15
And I Love Her,1964,UK: A Hard Day's Night US: Something New,152,29,Pop/Rock,"McCartney, with Lennon",McCartney,37
And Your Bird Can Sing,1966,UK: Revolver US: Yesterday and Today,121,9,"Power Pop, Psychedelic Pop, Pop/Rock","Lennon, with McCartney",Lennon,
Anna (Go to Him),1963,UK: Please Please Me US: The Early Beatles,168,16,"Soul, Pop/Rock",Alexander,Lennon,
Another Girl,1965,Help!,124,9,"Country Rock, Pop/Rock",McCartney,McCartney,
Any Time at All,1964,UK: A Hard Day's Night US: Something New,133,15,Pop/Rock,"Lennon, with McCartney","Lennon, with McCartney",
Ask Me Why,1962,UK: Please Please Me US: The Early Beatles,144,24,Pop/Rock,"Lennon, with McCartney",Lennon,
Baby It's You,1963,UK: Please Please Me US: The Early Beatles,162,17,Pop/Rock,"Bacharach, David, Dixon",Lennon,
Baby's in Black,1964,UK: Beatles for Sale US: Beatles '65,122,20,"Folk Rock, Pop/Rock",Lennon and McCartney,Lennon and McCartney,
"Baby, You're a Rich Man",1967,Magical Mystery Tour,183,10,"Psychedelic Pop, Psychedelic Rock, Pop/Rock",Lennon and McCartney,Lennon,48
Back in the U.S.S.R.,1968,The Beatles,163,13,"Rock and Roll, Hard Rock, Pop/Rock",McCartney,McCartney,
Bad Boy,1965,UK: A Collection of Beatles Oldies US: Beatles VI,,,R&B,Williams,Lennon,
Bad to Me,1963,The Beatles Bootleg Recordings 1963,142,,"Beat, Pop/Rock",Lennon,Lennon,
Beautiful Dreamer,1963,On Air - Live at the BBC Volume 2,106,,Pop/Rock,Foster,McCartney,
Because I Know You Love Me So,1969,Let It Be... Naked - Fly on the Wall bonus disc,,,,"Lennon, McCartney","Lennon, McCartney",
Because,1969,Abbey Road,165,11,Pop/Rock,Lennon,"Lennon, McCartney, Harrison",
Being for the Benefit of Mr. Kite!,1967,Sgt. Pepper's Lonely Hearts Club Band,157,7,"Experimental Rock, Psychedelic Rock, Circus, Pop/Rock","Lennon, with McCartney",Lennon,
Birthday,1968,The Beatles,162,11,"Hard Rock, Rock and Roll, Pop/Rock","McCartney, with Lennon","McCartney, with Lennon",
Blackbird,1968,The Beatles,139,12,"Folk, Pop/Rock",McCartney,McCartney,
Blue Jay Way,1967,Magical Mystery Tour,235,13,"Psychedelic Rock, Pop/Rock",Harrison,Harrison,
Boys,1963,UK: Please Please Me US: The Early Beatles,144,21,"Rock and Roll, Pop/Rock","Dixon, Farrell",Starkey (Best),
Bésame Mucho,1962,Anthology 1,,,Bolero,"Velázquez, Skylar",McCartney,
Can't Buy Me Love,1964,UK: A Hard Day's Night US: Hey Jude,131,42,Pop/Rock,McCartney,"McCartney, with Lennon",10
Carol,1963,Live at the BBC,,,"Rock and Roll, Pop/Rock",Berry,Lennon,
Carry That Weight,1969,Abbey Road,96,5,"Symphonic Rock, Pop/Rock",McCartney,"McCartney, with Lennon, Harrison and Starkey",
Catswalk,1962,,,,Pop/Rock,McCartney,N/A,
Cayenne,1960,Anthology 1,144,,"Instrumental Rock, Pop/Rock",McCartney,N/A,
Chains,1963,UK: Please Please Me US: The Early Beatles,143,18,"Rock and Roll, Pop/Rock","Goffin, King","Harrison, with Lennon and McCartney",
Child of Nature,1968,Let It Be... Naked - Fly on the Wall bonus disc,254,,"Soft Rock, Pop/Rock",Lennon,Lennon,
Christmas Time (Is Here Again),1967,The Beatles' Christmas Album,183,,Pop/Rock,"Lennon, McCartney, Harrison and Starkey","Lennon, McCartney, Harrison and Starkey",
Circles,1968,,226,,"Hindustani Blues, Pop/Rock",Harrison,Harrison,
Clarabella,1963,Live at the BBC,160,,Pop/Rock,Pingatore,McCartney,
