Title,Year,Album debut,Duration,Other releases,Single A side,Single B side,Single certification,Genre,Songwriter,Lead vocal,Cover,Covered by,Top 50 Billboard
12-Bar Original,1965,Anthology 2,174,,,,,Blues,"Lennon, McCartney, Harrison and Starkey",,,,
A Day in the Life,1967,Sgt. Pepper's Lonely Hearts Club Band,335,12,Sgt. Pepper's Lonely Hearts Club Band / With a Little Help from My Friends,A Day in the Life,,"Psychedelic Rock, Art Rock, Pop/Rock",Lennon and McCartney,Lennon and McCartney,,27,
A Hard Day's Night,1964,UK: A Hard Day's Night US: 1962-1966,152,35,A Hard Day's Night; A Hard Day's Night,Things We Said Today; I Should Have Known Better,RIAA Gold,"Rock, Electronic, Pop/Rock",Lennon,"Lennon, with McCartney",,35,8
A Shot of Rhythm and Blues,1963,Live at the BBC,104,,,,,"R&B, Pop/Rock",Thompson,Lennon,Y,,
A Taste of Honey,1963,UK: Please Please Me US: The Early Beatles,163,29,,,,"Pop/Rock, Jazz, Stage&Screen","Scott, Marlow",McCartney,Y,,
Across the Universe,1968,Let It Be,230,19,,,,"Psychedelic folk, Pop/Rock",Lennon,Lennon,,32,
Act Naturally,1965,UK: Help! US: Yesterday and Today,139,14,Yesterday,Act Naturally,RIAA Gold,"Country, Pop/Rock","Russell, Morrison",Starkey,Y,,50
Ain't She Sweet,1961,Anthology 1,,9,,,,Pop/Rock,"Yellen, Ager",Lennon,Y,,41
All I've Got to Do,1963,UK: With the Beatles US: Meet The Beatles!,124,9,,,,Pop/Rock,Lennon,Lennon,,2,
All My Loving,1963,UK: With the Beatles US: Meet The Beatles!,124,32,All My Loving,This Boy,,Pop/Rock,McCartney,McCartney,,20,
All Things Must Pass,1969,Anthology 3,227,,,,,"Folk Rock, Pop/Rock",Harrison,Harrison,,,
All Together Now,1967,Yellow Submarine,130,8,All Together Now,Hey Bulldog,,"Skiffle, Pop/Rock","McCartney, with Lennon","McCartney, with Lennon",,3,
All You Need Is Love,1967,Magical Mystery Tour,237,25,All You Need Is Love,"Baby, You're a Rich Man",RIAA Gold,Pop/Rock,Lennon,Lennon,,20,15
And I Love Her,1964,UK: A Hard Day's Night US: Something New,152,29,And I Love Her,If I Fell,,Pop/Rock,"McCartney, with Lennon",McCartney,,32,37
And Your Bird Can Sing,1966,UK: Revolver US: Yesterday and Today,121,9,,,,"Power Pop, Psychedelic Pop, Pop/Rock","Lennon, with McCartney",Lennon,,6,
Anna (Go to Him),1963,UK: Please Please Me US: The Early Beatles,168,16,,,,"Soul, Pop/Rock",Alexander,Lennon,Y,,
Another Girl,1965,Help!,124,9,,,,"Country Rock, Pop/Rock",McCartney,McCartney,,,
Any Time at All,1964,UK: A Hard Day's Night US: Something New,133,15,,,,Pop/Rock,"Lennon, with McCartney","Lennon, with McCartney",,4,
Ask Me Why,1962,UK: Please Please Me US: The Early Beatles,144,24,Please Please Me,Ask Me Why,,Pop/Rock,"Lennon, with McCartney",Lennon,,1,
Baby It's You,1963,UK: Please Please Me US: The Early Beatles,162,17,,,,Pop/Rock,"Bacharach, David, Dixon",Lennon,Y,,
Baby's in Black,1964,UK: Beatles for Sale US: Beatles '65,122,20,Real Love,Baby's in Black,RIAA Gold,"Folk Rock, Pop/Rock",Lennon and McCartney,Lennon and McCartney,,2,
"Baby, You're a Rich Man",1967,Magical Mystery Tour,183,10,All You Need Is Love,"Baby, You're a Rich Man",RIAA Gold,"Psychedelic Pop, Psychedelic Rock, Pop/Rock",Lennon and McCartney,Lennon,,3,48
Back in the U.S.S.R.,1968,The Beatles,163,13,Back in the U.S.S.R.,Twist and Shout,,"Rock and Roll, Hard Rock, Pop/Rock",McCartney,McCartney,,13,
Bad Boy,1965,UK: A Collection of Beatles Oldies US: Beatles VI,,,,,,R&B,Williams,Lennon,Y,,
Bad to Me,1963,The Beatles Bootleg Recordings 1963,142,,,,,"Beat, Pop/Rock",Lennon,Lennon,,,
Beautiful Dreamer,1963,On Air - Live at the BBC Volume 2,106,,,,,Pop/Rock,Foster,McCartney,Y,,
Because I Know You Love Me So,1969,Let It Be... Naked - Fly on the Wall bonus disc,,,,,,,"Lennon, McCartney","Lennon, McCartney",,,
Because,1969,Abbey Road,165,11,,,,Pop/Rock,Lennon,"Lennon, McCartney, Harrison",,14,
Being for the Benefit of Mr. Kite!,1967,Sgt. Pepper's Lonely Hearts Club Band,157,7,,,,"Experimental Rock, Psychedelic Rock, Circus, Pop/Rock","Lennon, with McCartney",Lennon,,11,
Birthday,1968,The Beatles,162,11,,,,"Hard Rock, Rock and Roll, Pop/Rock","McCartney, with Lennon","McCartney, with Lennon",,7,
Blackbird,1968,The Beatles,139,12,,,,"Folk, Pop/Rock",McCartney,McCartney,,52,
Blue Jay Way,1967,Magical Mystery Tour,235,13,,,,"Psychedelic Rock, Pop/Rock",Harrison,Harrison,,3,
